"accession"	"organism"	"tissue_type"	"cell_type"	"mol_type"	"dev_stage"	"clone"	"collection_date"	"isolate"	"country"	"db_xref"
"HM773966"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P01G101"	"2008"	"P01"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773967"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P01G103"	"2008"	"P01"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773968"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P01G201"	"2008"	"P01"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773969"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P01G401"	"2008"	"P01"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773970"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P01G402"	"2008"	"P01"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773971"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02E01"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773972"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02E02"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773973"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02E03"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773974"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02E04"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773975"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02E05"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773976"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02G101"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773977"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02G102"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773978"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02G103"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773979"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02G105"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM773980"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P02G106"	"2008"	"P02"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
