seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S1	IGHV3-30*12	IGHD5-18*01	IGHJ1*01	295	7	13	1	51
S2	IGHV4-61*08	IGHD3-22*01	IGHJ3*02	299	7	24	10	42
S3	IGHV3-64*05	IGHD1-1*01	IGHJ4*03	295	2	14	7	40
S4	IGHV1-3*01	IGHD5-5*01	IGHJ5*02	290	7	6	4	51
S5	IGHV1-69-2*01	IGHD1-26*01	IGHJ1*01	296	6	6	9	47
S6	IGHV3-9*03	IGHD1-20*01	IGHJ1*01	296	14	16	0	41
S7	IGHV2-70*10	IGHD2-2*03	IGHJ6*01	301	0	11	13	63
S8	IGHV1-69*12	IGHD3-22*01	IGHJ1*01	295	0	29	10	51
S9	IGHV3-21*03	IGHD1-1*01	IGHJ1*01	296	13	12	4	39
S10	IGHV1-18*01	IGHD7-27*01	IGHJ1*01	296	14	10	11	51
S11	IGHV4-28*06	IGHD4-4*01	IGHJ5*02	290	7	2	4	43
S12	IGHV4-59*03	IGHD2-15*01	IGHJ6*01	288	7	23	4	63
S13	IGHV2-5*05	IGHD1-20*01	IGHJ2*01	300	6	4	1	53
S14	IGHV3-20*01	IGHD5-5*01	IGHJ4*01	296	5	12	3	48
S15	IGHV3-23*03	IGHD5-12*01	IGHJ3*01	296	4	22	2	46
S16	IGHV3-33*03	IGHD4-17*01	IGHJ6*04	295	2	7	17	58
S17	IGHV1-46*03	IGHD6-6*01	IGHJ6*02	296	7	0	7	59
S18	IGHV3-48*04	IGHD5-12*01	IGHJ5*01	294	7	13	8	45
S19	IGHV1-24*01	IGHD6-6*01	IGHJ6*03	296	1	14	8	59
S20	IGHV4-34*04	IGHD6-25*01	IGHJ4*02	292	2	3	1	48
S21	IGHV1-46*03	IGHD5-12*01	IGHJ5*01	294	4	15	6	51
S22	IGHV1-69-2*01	IGHD3-3*02	IGHJ3*01	296	7	24	8	50
S23	IGHV3-9*01	IGHD2-15*01	IGHJ6*03	296	2	31	8	50
S24	IGHV2-26*01	IGHD6-25*01	IGHJ3*01	299	21	16	13	48
S25	IGHV4-30-2*01	IGHD5-18*01	IGHJ3*02	299	10	1	4	41
S26	IGHV1-58*02	IGHD3-22*01	IGHJ2*01	294	8	28	4	36
S27	IGHV4-38-2*02	IGHD1-1*01	IGHJ6*02	296	0	7	4	62
S28	IGHV1-24*01	IGHD4-4*01	IGHJ6*03	296	9	4	3	57
S29	IGHV6-1*02	IGHD1-26*01	IGHJ2*01	304	11	20	0	47
S30	IGHV4-39*06	IGHD3-3*02	IGHJ4*01	299	6	17	4	35
S31	IGHV3-43*01	IGHD1-20*01	IGHJ3*01	297	7	11	5	44
S32	IGHV3-73*02	IGHD1-20*01	IGHJ2*01	301	4	8	8	40
S33	IGHV3-74*02	IGHD1-1*01	IGHJ6*01	293	2	14	18	58
S34	IGHV3-30-3*01	IGHD6-6*01	IGHJ6*01	294	21	10	0	54
S35	IGHV3-7*02	IGHD3-16*02	IGHJ3*01	294	2	23	11	49
S36	IGHV3-11*05	IGHD2-8*01	IGHJ4*02	293	6	18	0	41
S37	IGHV1-24*01	IGHD3-9*01	IGHJ4*03	295	4	17	0	45
S38	IGHV3-48*03	IGHD6-6*01	IGHJ4*02	296	6	9	2	42
S39	IGHV1-3*01	IGHD6-13*01	IGHJ3*01	294	9	14	10	49
S40	IGHV3-64*05	IGHD4-17*01	IGHJ6*01	296	10	13	3	63
S41	IGHV4-28*01	IGHD6-19*01	IGHJ5*02	296	4	21	0	40
S42	IGHV3-53*02	IGHD2-21*02	IGHJ6*01	291	14	27	0	56
S43	IGHV3-49*03	IGHD1-1*01	IGHJ6*03	302	8	8	3	60
S44	IGHV3-49*04	IGHD2-21*02	IGHJ4*02	302	6	26	0	48
S45	IGHV1-2*05	IGHD2-8*02	IGHJ3*02	296	15	27	12	50
S46	IGHV3-20*01	IGHD4-17*01	IGHJ1*01	296	0	12	0	50
S47	IGHV3-33*02	IGHD3-16*02	IGHJ3*02	295	12	29	0	37
S48	IGHV5-10-1*01	IGHD3-16*02	IGHJ3*01	291	2	33	9	50
S49	IGHV3-64*02	IGHD7-27*01	IGHJ5*01	290	5	11	7	51
S50	IGHV3-9*01	IGHD2-8*01	IGHJ1*01	298	11	27	0	46
S51	IGHV1-58*02	IGHD6-13*01	IGHJ4*02	294	0	14	1	43
S52	IGHV3-30-3*01	IGHD1-7*01	IGHJ5*01	294	6	9	4	51
S53	IGHV1-45*01	IGHD6-13*01	IGHJ6*01	293	5	0	2	58
S54	IGHV1-46*02	IGHD6-6*01	IGHJ4*02	296	7	12	0	46
S55	IGHV3-48*04	IGHD2-15*01	IGHJ3*02	296	0	22	4	45
S56	IGHV3-11*04	IGHD4-4*01	IGHJ3*02	296	7	1	10	50
S57	IGHV2-5*06	IGHD3-16*02	IGHJ6*02	300	6	33	0	60
S58	IGHV3-74*02	IGHD3-9*01	IGHJ4*03	292	5	24	10	45
S59	IGHV4-4*04	IGHD3-22*01	IGHJ3*02	287	3	31	17	38
S60	IGHV3-74*03	IGHD6-13*01	IGHJ2*01	296	2	8	9	52
S61	IGHV3-53*03	IGHD5-5*01	IGHJ1*01	291	7	12	1	50
S62	IGHV6-1*01	IGHD5-12*01	IGHJ1*01	302	4	20	3	47
S63	IGHV4-39*02	IGHD1-1*01	IGHJ6*03	299	0	3	0	52
S64	IGHV1-24*01	IGHD6-13*01	IGHJ6*02	296	7	5	2	59
S65	IGHV7-4-1*04	IGHD1-1*01	IGHJ5*02	296	21	9	0	50
S66	IGHV3-33*06	IGHD4-4*01	IGHJ6*02	296	5	16	0	46
S67	IGHV4-59*03	IGHD3-22*01	IGHJ4*02	288	7	28	7	40
S68	IGHV3-23*01	IGHD1-20*01	IGHJ5*01	296	0	0	3	47
S69	IGHV1-8*02	IGHD5-5*01	IGHJ4*02	296	4	12	1	48
S70	IGHV3-33*05	IGHD1-1*01	IGHJ1*01	296	2	11	0	46
S71	IGHV1-69-2*01	IGHD4-17*01	IGHJ6*02	296	6	13	2	55
S72	IGHV1-8*02	IGHD3-10*02	IGHJ4*01	295	0	15	18	42
S73	IGHV3-23*02	IGHD6-6*01	IGHJ5*01	295	7	8	3	51
S74	IGHV3-53*01	IGHD3-10*02	IGHJ2*01	292	2	20	3	47
S75	IGHV5-51*01	IGHD2-21*01	IGHJ1*01	296	12	28	7	51
S76	IGHV4-4*02	IGHD1-7*01	IGHJ3*01	296	3	10	5	50
S77	IGHV3-43*01	IGHD3-9*01	IGHJ4*01	298	2	25	0	42
S78	IGHV3-9*01	IGHD1-1*01	IGHJ1*01	292	10	7	0	46
S79	IGHV3-30*04	IGHD3-3*01	IGHJ5*02	295	2	27	0	46
S80	IGHV3-23*02	IGHD6-13*01	IGHJ6*01	293	19	21	10	54
S81	IGHV5-10-1*04	IGHD5-5*01	IGHJ4*03	294	7	19	5	48
S82	IGHV3-64*03	IGHD3-16*01	IGHJ4*01	296	0	36	0	41
S83	IGHV6-1*02	IGHD6-13*01	IGHJ1*01	300	5	7	3	46
S84	IGHV1-58*02	IGHD1-1*01	IGHJ3*02	296	0	17	6	45
S85	IGHV3-13*03	IGHD3-9*01	IGHJ5*02	288	7	19	4	49
