Name	Rearrangement	Support
S95|IGHV3-66*03|IGHD7-27*01|IGHJ4*02	V3-66*03,J1*01	0.02094162745475501
S95|IGHV3-66*03|IGHD7-27*01|IGHJ4*02	V3-66*03,J4*02	0.9660246052501337
S98|IGHV3-43D*01|IGHD4/OR15-4a*01|IGHJ2*01	V3-43D*01,J2*01	0.9999999999999998
S93|IGHV4/OR15-8*02|IGHD3-22*01|IGHJ6*04	V4/OR15-8*02,J6*02	0.3264179108142216
S93|IGHV4/OR15-8*02|IGHD3-22*01|IGHJ6*04	V4/OR15-8*02,J6*04	0.6734300514645678
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3,J6*02	0.046616733505446
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3,J6*04	0.09781852297533532
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3-64*05,J6*02	0.06601441759581289
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3-64*05,J6*04	0.1179641496832198
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3-64D*06,J6*02	0.2296903164687667
S99|IGHV3-64D*06|IGHD1-20*01|IGHJ6*04	V3-64D*06,J6*04	0.4414444326944085
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01	V6-1*01,J2*01	0.06469329282098948
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01	V6-1*02,J2*01	0.9353067071790102
S35|IGHV3-38*03|IGHD3-16*02|IGHJ3*01	V3-38*03,J3*01	0.7023864849063273
S35|IGHV3-38*03|IGHD3-16*02|IGHJ3*01	V3-38*03,J3*02	0.2970371212103116
S96|IGHV3-30-3*01|IGHD6-6*01|IGHJ4*03	V3-30-3*01,J4*03	0.9868023438970677
S46|IGHV3-7*02|IGHD1-14*01|IGHJ6*02	V3-7*02,J6*01	0.3320444949540308
S46|IGHV3-7*02|IGHD1-14*01|IGHJ6*02	V3-7*02,J6*02	0.6644722280999145
S85|IGHV3-NL1*01|IGHD5/OR15-5a*01|IGHJ1*01	V3-NL1*01,J1*01	0.9999999999999998
S70|IGHV6-1*02|IGHD1-14*01|IGHJ5*01	V6-1*01,J5*01	0.02159074097456304
